1、爱、愛、ai4、to love、verb、0、[Empty]
1、八、八、ba1、eight、numeral、0、[Empty]
1、爸爸、爸爸、ba4ba5、father、noun、0、[Empty]
1、杯子、杯子、bei1zi5、cup、noun、0、[Empty]
1、北京、北京、Bei3jing1、Beijing、noun、0、[Empty]
1、本、本、ben3、volume、measure word、0、[Empty]
1、不客气、不客氣、bu2ke4qi5、you're welcome、verb、0、[Empty]
1、不、不、bu4、no、adverb、0、[Empty]
1、菜、菜、cai4、dish、noun、0、[Empty]
1、茶、茶、cha2、tea、noun、0、[Empty]
1、吃、吃、chi1、to eat、verb、0、[Empty]
1、出租车、計程車、chu1zu1che1、taxi、noun、0、[Empty]
1、打電話、打電話、da3dian4hua4、to make a telephone call、verb、0、[Empty]
1、大、大、da4、big、adjective、0、[Empty]
1、的、的、de5、subordinating particle、auxiliary、0、[Empty]
1、点、點、dian3、o'clock、noun、0、[Empty]
1、电脑、電腦、dian4nao3、computer、noun、0、[Empty]
1、电视、電視、dian4shi4、television、noun、0、[Empty]
1、电影、電影、dian4ying3、movie、noun、0、[Empty]
1、东西、東西、dong1xi5、thing、noun、0、[Empty]
1、都、都、dou1、all、adverb、0、[Empty]
1、读、讀、du2、to read、verb、0、[Empty]
1、对不起、對不起、dui4bu5qi3、sorry、verb、0、[Empty]
1、多、多、duo1、many, much、adjective、0、[Empty]
1、多少、多少、duo1shao5、how many, how much、pronoun、0、[Empty]
1、儿子、兒子、er2zi5、son、noun、0、[Empty]
1、二、二、er4、two、numeral、0、[Empty]
1、饭店、飯店、fan4dian4、restaurant、noun、0、[Empty]
1、飞机、飛機、fei1ji1、airplane、noun、0、[Empty]
1、高兴、高興、gao1xing4、happy、adjective、0、[Empty]
1、个、個、ge4、measure word 、measure word、0、[Empty]
1、工作、工作、gong1zuo4、to work、verb、0、[Empty]
1、狗、狗、gou3、dog、noun、0、[Empty]
1、汉语、漢語、han4yu3、Chinese language、noun、0、[Empty]
1、好、好、hao3、good, nice、adjective、0、[Empty]
1、喝、喝、he1、to drink、verb、0、[Empty]
1、和、和、he2、and、conjunction、0、[Empty]
1、很、很、hen3、very、adverb、0、[Empty]
1、后面、後面、hou4mian4、back、noun、0、[Empty]
1、回、回、hui2、to come back、verb、0、[Empty]
1、会、會、hui4、can、verb、0、[Empty]
1、火车站、火車站、huo3che1zhan4、railway station、noun、0、[Empty]
1、几、幾、ji3、how many、pronoun、0、[Empty]
1、岁、歲、sui4、years, age、measure word、0、[Empty]
1、家、家、jia1、home、noun、0、[Empty]
1、叫、叫、jiao4、to call、verb、0、[Empty]
1、今天、今天、jin1tian1、today、noun、0、[Empty]
1、九、九、jiu3、nine、numeral、0、[Empty]
1、开、開、kai1、to open、verb、0、[Empty]
1、看、看、kan4、to look at、verb、0、[Empty]
1、看见、看見、kan4jian4、to see、verb、0、[Empty]
1、块、塊、kuai4、piece、measure word、0、[Empty]
1、来、來、lai2、to come、verb、0、[Empty]
1、老师、老師、lao3shi1、teacher、noun、0、[Empty]
1、了、了、le5、(past tense)、auxiliary、0、[Empty]
1、冷、冷、leng3、cold、adjective、0、[Empty]
1、里、裡、li3、inside、noun、0、[Empty]
1、零、零、ling2、zero、numeral、0、[Empty]
1、六、六、liu4、six、numeral、0、[Empty]
1、妈妈、媽媽、ma1ma5、mother、noun、0、[Empty]
1、吗、嗎、ma5、question marker、auxiliary、0、[Empty]
1、买、買、mai3、to buy、verb、0、[Empty]
1、猫、貓、mao1、cat、noun、0、[Empty]
1、没、沒、mei2、not、adverb、0、[Empty]
1、没关系、沒關係、mei2guan1xi5、it doesn't matter、verb、0、[Empty]
1、米饭、米飯、mi3fan4、rice、noun、0、[Empty]
1、名字、名字、ming2zi5、name、noun、0、[Empty]
1、明天、明天、ming2tian1、tomorrow、noun、0、[Empty]
1、哪儿、哪兒、na3r、where、pronoun、0、[Empty]
1、那、那、na4、that、pronoun、0、[Empty]
1、呢、呢、ne5、(suggestion)、auxiliary、0、[Empty]
1、能、能、neng2、to be able to、verb、0、[Empty]
1、你、你、ni3、you, you、pronoun、0、[Empty]
1、你们、你們、ni3men5、you, you、pronoun、0、[Empty]
1、年、年、nian2、year、noun、0、[Empty]
1、女儿、女兒、nv3er2、daughter、noun、0、[Empty]
1、朋友、朋友、peng2you5、friend、noun、0、[Empty]
1、苹果、蘋果、ping2guo3、apple、noun、0、[Empty]
1、七、七、qi1、seven、numeral、0、[Empty]
1、钱、錢、qian2、money、noun、0、[Empty]
1、前面、前面、qian2mian4、front、noun、0、[Empty]
1、请、請、qing3、please 、verb、0、[Empty]
1、去、去、qu4、to go、verb、0、[Empty]
1、热、熱、re4、hot、adjective、0、[Empty]
1、人、人、ren2、people、noun、0、[Empty]
1、认识、認識、ren4shi5、to know、verb、0、[Empty]
1、日、日、ri4、day、noun、0、[Empty]
1、三、三、san1、three、numeral、0、[Empty]
1、商店、商店、shang1dian4、shop、noun、0、[Empty]
1、上、上、shang4、above、noun、0、[Empty]
1、上午、上午、shang4wu3、morning、noun、0、[Empty]
1、少、少、shao3、few, little、adjective、0、[Empty]
1、什么、什麼、shen2me5、what、pronoun、0、[Empty]
1、十、十、shi2、ten、numeral、0、[Empty]
1、时候、時候、shi2hou4、time, when、noun、0、[Empty]
1、是、是、shi4、to be、verb、0、[Empty]
1、书、書、shu1、book、noun、0、[Empty]
1、谁、誰、shui2、who、pronoun、0、[Empty]
1、水、水、shui3、water、noun、0、[Empty]
1、水果、水果、shui3guo3、fruit、noun、0、[Empty]
1、睡覺、睡覺、shui4jiao4、to sleep、verb、0、[Empty]
1、说话、說話、shuo1hua4、to say、verb、0、[Empty]
1、四、四、si4、four、numeral、0、[Empty]
1、他、他、ta1、he, him、pronoun、0、[Empty]
1、她、她、ta1、she, her、pronoun、0、[Empty]
1、他们、他們、ta1men5、they, them、pronoun、0、[Empty]
1、她们、她們、ta1men5、they, them、pronoun、0、[Empty]
1、太、太、tai4、too、adverb、0、[Empty]
1、天气、天氣、tian1qi4、weather、noun、0、[Empty]
1、听、聽、ting1、to listen、verb、0、[Empty]
1、同学、同學、tong2xue2、classmate、noun、0、[Empty]
1、我、我、wo3、I, me、pronoun、0、[Empty]
1、我们、我們、wo3men5、we, us、pronoun、0、[Empty]
1、五、五、wu3、five、numeral、0、[Empty]
1、喜欢、喜歡、xi3huan5、to like、verb、0、[Empty]
1、下、下、xia4、below、noun、0、[Empty]
1、下午、下午、xia4wu3、afternoon、noun、0、[Empty]
1、下雨、下雨、xia4yu3、to rain、verb、0、[Empty]
1、先生、先生、xian1sheng5、mister、noun、0、[Empty]
1、现在、現在、xian4zai4、now、noun、0、[Empty]
1、想、想、xiang3、to think、verb、0、[Empty]
1、小、小、xiao3、small、adjective、0、[Empty]
1、小姐、小姐、xiao3jie3、miss、noun、0、[Empty]
1、些、些、xie1、a few、measure word、0、[Empty]
1、写、寫、xie3、to write、verb、0、[Empty]
1、谢谢、謝謝、xie4xie5、thanks、verb、0、[Empty]
1、星期、星期、xing1qi1、week、noun、0、[Empty]
1、学生、學生、xue2sheng1、student、noun、0、[Empty]
1、学习、學習、xue2xi2、to study、verb、0、[Empty]
1、学校、學校、xue2xiao4、school、noun、0、[Empty]
1、一、一、yi1、one、numeral、0、[Empty]
1、衣服、衣服、yi1fu5、clothing、noun、0、[Empty]
1、医生、醫生、yi1sheng1、doctor、noun、0、[Empty]
1、医院、醫院、yi1yuan4、hospital、noun、0、[Empty]
1、椅子、椅子、yi3zi5、chair、noun、0、[Empty]
1、有、有、you3、to have、verb、0、[Empty]
1、月、月、yue4、month、noun、0、[Empty]
1、在、在、zai4、at、preposition、0、[Empty]
1、再见、再見、zai4jian4、good-bye、verb、0、[Empty]
1、怎么、怎麼、zen3me5、how、pronoun、0、[Empty]
1、怎么样、怎麼樣、zen3me5yang4、how about、pronoun、0、[Empty]
1、这、這、zhe4、this、pronoun、0、[Empty]
1、中国、中國、Zhong1guo2、China、noun、0、[Empty]
1、中午、中午、zhong1wu3、noon、noun、0、[Empty]
1、住、住、zhu4、to live、verb、0、[Empty]
1、桌子、桌子、zhuo1zi5、table、noun、0、[Empty]
1、字、字、zi4、Chinese character、noun、0、[Empty]
1、昨天、昨天、zuo2tian1、yesterday、noun、0、[Empty]
1、做、做、zuo4、to do、verb、0、[Empty]
1、坐、坐、zuo4、to sit、verb、0、[Empty]
2、吧、吧、ba5、(suggestion)、auxiliary、0、[Empty]
2、白、白、bai2、white、adjective、0、[Empty]
2、百、百、bai3、hundred、numeral、0、[Empty]
2、帮助、幫助、bang1zhu4、to help、verb、0、[Empty]
2、比、比、bi3、to compare with、preposition、0、[Empty]
2、别、別、bie2、do not、adverb、0、[Empty]
2、长、長、chang2、long、adjective、0、[Empty]
2、唱歌、唱歌、chang4ge1、to sing、verb、0、[Empty]
2、出、出、chu1、to go out、verb、0、[Empty]
2、穿、穿、chuan1、to wear、verb、0、[Empty]
2、船、船、chuan2、boat、noun、0、[Empty]
2、次、次、ci4、time、classifier、0、[Empty]
2、从、從、cong2、from、preposition、0、[Empty]
2、错、錯、cuo4、wrong、adjective、0、[Empty]
2、打篮球、打籃球、da3lan2qiu2、to play basketball、phrase、0、[Empty]
2、大家、大家、da4jia1、everyone、pronoun、0、[Empty]
2、但是、但是、dan4shi4、but、conjunction、0、[Empty]
2、到、到、dao4、to arrive、verb、0、[Empty]
2、地、地、de5、(adverbial particle)、auxiliary、0、[Empty]
2、得、得、de5、(adverbial particle)、auxiliary、0、[Empty]
2、等、等、deng3、to wait、verb、0、[Empty]
2、弟弟、弟弟、di4di5、younger brother、noun、0、[Empty]
2、第一、第一、di4yi1、first、numeral、0、[Empty]
2、对、對、dui4、right、adjective、0、[Empty]
2、对、對、dui4、towards、preposition、0、[Empty]
2、房间、房間、fang2jian1、room、noun、0、[Empty]
2、非常、非常、fei1chang2、very、adverb、0、[Empty]
2、分钟、分鐘、fen1zhong1、minute、noun、0、[Empty]
2、服务员、服務員、fu2wu4yuan2、waiter、noun、0、[Empty]
2、高、高、gao1、tall、adjective、0、[Empty]
2、告诉、告訴、gao4su5、to tell、verb、0、[Empty]
2、哥哥、哥哥、ge1ge5、older brother、noun、0、[Empty]
2、给、給、gei3、to give、verb、0、[Empty]
2、公共汽车、公共汽車、gong1gong4qi4che1、bus、noun、0、[Empty]
2、公斤、公斤、gong1jin1、kilogram、classifier、0、[Empty]
2、公司、公司、gong1si1、company、noun、0、[Empty]
2、贵、貴、gui4、expensive、adjective、0、[Empty]
2、过、過、guo4、(perfect tense)、auxiliary、0、[Empty]
2、还、還、hai2、still、adverb、0、[Empty]
2、孩子、孩子、hai2zi5、child、noun、0、[Empty]
2、好吃、好吃、hao3chi1、delicious、adjective、0、[Empty]
2、号、號、hao4、number、noun、0、[Empty]
2、黑、黑、hei1、black、adjective、0、[Empty]
2、红、紅、hong2、red、adjective、0、[Empty]
2、欢迎、歡迎、huan1ying2、to welcome、verb、0、[Empty]
2、回答、回答、hui2da2、to answer、verb、0、[Empty]
2、机场、機場、ji1chang3、airport、noun、0、[Empty]
2、鸡蛋、雞蛋、ji1dan4、egg、noun、0、[Empty]
2、件、件、jian4、measure word for clothing or matters、classifier、0、[Empty]
2、教室、教室、jiao4shi4、classroom、noun、0、[Empty]
2、姐姐、姐姐、jie3jie5、older sister、noun、0、[Empty]
2、介绍、介紹、jie4shao4、to introduce、verb、0、[Empty]
2、进、進、jin4、to enter、verb、0、[Empty]
2、近、近、jin4、close、adjective、0、[Empty]
2、就、就、jiu4、only、adverb、0、[Empty]
2、觉得、覺得、jue2de5、to think、verb、0、[Empty]
2、咖啡、咖啡、ka1fei1、coffee、noun、0、[Empty]
2、开始、開始、kai1shi3、to begin、verb、0、[Empty]
2、考试、考試、kao3shi4、exam、noun、0、[Empty]
2、可能、可能、ke3neng2、to be possible、verb、0、[Empty]
2、可以、可以、ke3yi3、can、verb、0、[Empty]
2、课、課、ke4、lesson、noun、0、[Empty]
2、快、快、kuai4、quick、adjective、0、[Empty]
2、快乐、快樂、kuai4le4、happy、adjective、0、[Empty]
2、累、累、lei4、tired、adjective、0、[Empty]
2、离、離、li2、from、preposition、0、[Empty]
2、两、兩、liang3、two、numeral、0、[Empty]
2、路、路、lu4、road、noun、0、[Empty]
2、旅游、旅遊、lv3you2、to travel、verb、0、[Empty]
2、慢、慢、man4、slow、adjective、0、[Empty]
2、忙、忙、mang2、busy、adjective、0、[Empty]
2、每、每、mei3、every、pronoun、0、[Empty]
2、妹妹、妹妹、mei4mei5、younger sister、noun、0、[Empty]
2、男人、男人、nan2ren2、man、noun、0、[Empty]
2、您、您、nin2、you、pronoun、0、[Empty]
2、牛奶、牛奶、niu2nai3、milk、noun、0、[Empty]
2、女人、女人、nv3ren2、woman、noun、0、[Empty]
2、旁边、旁邊、pang2bian1、side、noun、0、[Empty]
2、跑步、跑步、pao3bu4、to run、verb、0、[Empty]
2、便宜、便宜、pian2yi5、cheap、adjective、0、[Empty]
2、票、票、piao4、ticket、noun、0、[Empty]
2、漂亮、漂亮、piao4liang5、beautiful、adjective、0、[Empty]
2、妻子、妻子、qi1zi5、wife、noun、0、[Empty]
2、起床、起床、qi3chuang2、to get up、verb、0、[Empty]
2、千、千、qian1、thousand、numeral、0、[Empty]
2、晴、晴、qing2、sunny、adjective、0、[Empty]
2、去年、去年、qu4nian2、last year、noun、0、[Empty]
2、让、讓、rang4、to let、verb、0、[Empty]
2、上班、上班、shang4ban1、to go to work、verb、0、[Empty]
2、身体、身體、shen1ti3、body, health、noun、0、[Empty]
2、生病、生病、sheng1bing4、to get sick、verb、0、[Empty]
2、生日、生日、sheng1ri4、birthday、noun、0、[Empty]
2、时间、時間、shi2jian1、time、noun、0、[Empty]
2、事情、事情、shi4qing5、matter、noun、0、[Empty]
2、手表、手錶、shou3biao3、watch、noun、0、[Empty]
2、送、送、song4、to give, to send、verb、0、[Empty]
2、所以、所以、suo3yi3、so、conjunction、0、[Empty]
2、它、它、ta1、it 、pronoun、0、[Empty]
2、踢足球、踢足球、ti1zu2qiu2、to play football、verb、0、[Empty]
2、题、題、ti2、question、noun、0、[Empty]
2、跳舞、跳舞、tiao4wu3、to dance、verb、0、[Empty]
2、外、外、wai4、outside、noun、0、[Empty]
2、玩、玩、wan2、to play、verb、0、[Empty]
2、完、完、wan2、to finish、verb、0、[Empty]
2、晚上、晚上、wan3shang5、evening、noun、0、[Empty]
2、喂、喂、wei4、hey、interjection、0、[Empty]
2、为什么、為什麼、wei4shen2me5、why、pronoun、0、[Empty]
2、问、問、wen4、to ask、verb、0、[Empty]
2、问题、問題、wen4ti2、question、noun、0、[Empty]
2、西瓜、西瓜、xi1gua1、watermelon、noun、0、[Empty]
2、希望、希望、xi1wang4、to hope、verb、0、[Empty]
2、洗、洗、xi3、to wash、verb、0、[Empty]
2、向、向、xiang4、towards、preposition、0、[Empty]
2、小时、小時、xiao3shi2、hour、noun、0、[Empty]
2、笑、笑、xiao4、to smile、verb、0、[Empty]
2、新、新、xin1、new、adjective、0、[Empty]
2、姓、姓、xing4、family name、noun、0、[Empty]
2、休息、休息、xiu1xi5、to rest、verb、0、[Empty]
2、雪、雪、xue3、snow、noun、0、[Empty]
2、颜色、顏色、yan2se4、color、noun、0、[Empty]
2、眼睛、眼睛、yan3jing5、eye、noun、0、[Empty]
2、羊肉、羊肉、yang2rou4、lamb、noun、0、[Empty]
2、药、藥、yao4、medicine、noun、0、[Empty]
2、要、要、yao4、to want, will、verb、0、[Empty]
2、也、也、ye3、also、adverb、0、[Empty]
2、已经、已經、yi3jing1、already、adverb、0、[Empty]
2、一起、一起、yi1qi3、together、adverb、0、[Empty]
2、意思、意思、yi4si5、meaning、noun、0、[Empty]
2、阴、陰、yin1、cloudy、adjective、0、[Empty]
2、因为、因為、yin1wei4、because、conjunction、0、[Empty]
2、游泳、游泳、you2yong3、to swim、verb、0、[Empty]
2、右边、右邊、you4bian5、right side、noun、0、[Empty]
2、鱼、魚、yu2、fish、noun、0、[Empty]
